rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss
-51.875506,2048,999.0,2080,1,0,,,,,,,,,,,
-50.1014835,4096,999.0,1401,2,2,0.9166045784950256,0.2,-0.012590134794299957,0.0770993995043682,-0.013825928792357445,0.007202886,0.031005859375,10,-0.046755075454711914,0.0003,-1.372175519913435
-48.30139766666667,6144,999.0,1270,3,4,0.8412367701530457,0.2,-0.012407310713024344,0.03486310865555424,-0.0036449767649173737,0.007751859,0.031591796875,20,0.02931743860244751,0.0003,-1.2862937469035387
-46.609541500000006,8192,999.0,1213,4,6,0.766609787940979,0.2,-0.014400355058023706,0.01842849340318935,-0.012920845299959183,0.007843646,0.027587890625,30,-0.00912165641784668,0.0003,-1.1976187609136104
-44.43893440000001,10240,999.0,1181,5,8,0.6986581087112427,0.2,-0.01599061986489687,0.01797127684112638,-0.01572822779417038,0.008604667,0.035498046875,40,-0.006578922271728516,0.0003,-1.1037529774010182
-42.67227633333334,12288,999.0,1160,6,10,0.6378703117370605,0.2,-0.0174828993724077,0.010723176473402419,-0.03381537273526192,0.009360258,0.03232421875,50,-0.00902247428894043,0.0003,-1.0108101692050695
-40.809240285714296,14336,999.0,1147,7,12,0.5790899395942688,0.2,-0.018890650679531974,0.01015016217570519,-0.03082624450325966,0.00916181,0.034033203125,60,-0.0012230873107910156,0.0003,-0.9164948884397746
-38.965608125,16384,999.0,1139,8,14,0.5273764133453369,0.2,-0.01903855819691671,0.007237704636645503,-0.031017985194921494,0.009497901,0.033056640625,70,-0.0016609430313110352,0.0003,-0.8214454500004649
-37.094180111111115,18432,999.0,1132,9,16,0.48219016194343567,0.2,-0.019182853915845045,0.008142428017163184,-0.01619746908545494,0.008843229,0.033349609375,80,-0.03219807147979736,0.0003,-0.7292206738144159
-35.2746518,20480,999.0,1125,10,18,0.44138258695602417,0.2,-0.01867412039428018,0.005873459099530009,-0.028156081214547157,0.008132785,0.033251953125,90,0.00627213716506958,0.0003,-0.6404313819482923
-33.55568481818182,22528,999.0,1119,11,20,0.4059963822364807,0.2,-0.01668051009037299,0.005585533150588162,-0.01672504097223282,0.00633486,0.021875,100,-0.007820725440979004,0.0003,-0.5548626055940986
-31.950496958333332,24576,999.0,1113,12,22,0.3724991977214813,0.2,-0.017653628191328607,0.003298151581111597,-0.04141544923186302,0.007251371,0.027685546875,110,0.004271268844604492,0.0003,-0.4697900578379631
-30.422244115384615,26624,999.0,1111,13,23,0.3439135253429413,0.2,-0.016549772485450375,0.00398179877010989,-0.013503778725862503,0.0065386305,0.026220703125,120,-0.031111717224121094,0.0003,-0.3866918733343482
-28.972774678571426,28672,999.0,1108,14,25,0.3170599043369293,0.2,-0.015592585760896328,0.0024231329713074955,-0.035163361579179764,0.0061773495,0.02041015625,130,-0.0018938779830932617,0.0003,-0.30708734355866907
-27.633506833333332,30720,999.0,1106,15,27,0.2928066849708557,0.2,-0.015356370937661267,0.002575575102127914,-0.03911815956234932,0.006293982,0.025146484375,140,0.014188647270202637,0.0003,-0.22721504643559456
-26.405578124999998,32768,999.0,1105,16,29,0.2716316282749176,0.2,-0.01380050613952335,0.0017507593367554364,-0.024871619418263435,0.0060157934,0.021484375,150,-0.05675613880157471,0.0003,-0.14928238801658153
-25.220270499999998,34816,999.0,1100,17,31,0.25093549489974976,0.2,-0.01587264547852101,0.0018133818892238196,-0.027374127879738808,0.0064603193,0.028662109375,160,0.0228879451751709,0.0003,-0.07186289913952351
-24.130712944444447,36864,999.0,1099,18,33,0.23191258311271667,0.2,-0.013977019587764516,0.0014438755018090887,-0.028962409123778343,0.006072237,0.02041015625,170,0.011532247066497803,0.0003,0.005829337611794471
-23.120729631578946,38912,999.0,1098,19,35,0.2156175971031189,0.2,-0.012546577547618653,0.000896069403461297,-0.03319298103451729,0.00523554,0.02275390625,180,-0.009830355644226074,0.0003,0.08192971684038639
-21.733022097560973,40960,999.0,1096,20,37,0.19969883561134338,0.2,-0.014180614066572162,0.0008178486236829485,-0.0017583905719220638,0.0057129264,0.02197265625,190,-0.00829005241394043,0.0003,0.15796576701104642
-20.885991116279065,43008,999.0,1095,21,39,0.18586596846580505,0.2,-0.012632807256886735,0.0006714147824368411,-0.02052135206758976,0.0052100946,0.022900390625,200,0.006513237953186035,0.0003,0.23137147054076196
-20.09053342222222,45056,999.0,1095,22,41,0.17394225299358368,0.2,-0.011991766715073026,0.0005181509302929043,-0.009234125725924969,0.004951476,0.02275390625,210,0.005404114723205566,0.0003,0.30220171697437764
-19.34746863829787,47104,999.0,1093,23,43,0.16187720000743866,0.2,-0.011824887797411065,0.00043540840172227033,-0.022770356386899948,0.0049903053,0.017041015625,220,0.007615804672241211,0.0003,0.37006692569702865
-18.65385685714286,49152,999.0,1093,24,44,0.1505533754825592,0.2,-0.013941082298697439,0.00040138813412795573,3.749472671188414e-05,0.0064244196,0.029248046875,230,-0.03059208393096924,0.0003,0.44070755075663326
-18.001379823529412,51200,999.0,1092,25,46,0.13960178196430206,0.2,-0.01306754359684419,0.0002886286399188975,-0.015537566505372524,0.006072907,0.02421875,240,-0.03645622730255127,0.0003,0.5156994376331567
-17.39090390566038,53248,999.0,1091,26,48,0.12979604303836823,0.2,-0.011900961819628719,0.00020467627402922516,-0.02003560960292816,0.0057744225,0.021875,250,-0.015732645988464355,0.0003,0.5898272709921002
-16.814777781818183,55296,999.0,1091,27,50,0.12095154821872711,0.2,-0.01143246872961754,0.00016869743045617726,-0.02966207079589367,0.005599777,0.020947265625,260,-0.024430036544799805,0.0003,0.6620325665920973
-16.26986701754386,57344,999.0,1090,28,52,0.11263435333967209,0.2,-0.012881016194296536,0.00015879241054790328,-0.0023229969665408134,0.00556082,0.02333984375,270,0.0012694001197814941,0.0003,0.7322578113526106
-15.756312355932202,59392,999.0,1090,29,54,0.10578122735023499,0.2,-0.009123723790980875,9.866751935305729e-05,-0.009795746766030788,0.004007788,0.01435546875,280,0.010806024074554443,0.0003,0.7978368911892175
-15.273371885245899,61440,999.0,1089,30,56,0.09920845180749893,0.2,-0.010081277148856316,7.475791870206194e-05,-0.009570416994392872,0.0052177105,0.02158203125,290,0.006365776062011719,0.0003,0.863665497675538
-14.817078126984123,63488,999.0,1089,31,58,0.09278497844934464,0.2,-0.010118471382884308,5.622808109819744e-05,-0.014343885704874992,0.004402084,0.014208984375,300,0.0052217841148376465,0.0003,0.9261033128947019
-14.384241507692309,65536,999.0,1088,32,60,0.086241215467453,0.2,-0.011816622527112486,5.3388841322998815e-05,-0.014789105392992496,0.005842787,0.0197265625,310,-0.006545662879943848,0.0003,0.9980147402733565
-13.975131850746271,67584,999.0,1088,33,62,0.08105552196502686,0.2,-0.010144075051357504,4.3056941187558095e-05,-0.015126085840165615,0.0039265705,0.016064453125,320,0.003007352352142334,0.0003,1.0666685439646244
-13.58865291304348,69632,999.0,1087,34,64,0.07597321271896362,0.2,-0.010522014644811862,3.238146373547579e-05,-0.03176790848374367,0.0049522547,0.016748046875,330,-0.02156233787536621,0.0003,1.1286352574825287
-13.220791422535212,71680,999.0,1087,35,65,0.07127614319324493,0.2,-0.010457255379878915,3.405030540051257e-05,-0.02532694861292839,0.0044407947,0.018115234375,340,-0.014509320259094238,0.0003,1.1945365816354752
-12.87155715068493,73728,999.0,1086,36,67,0.06680066138505936,0.2,-0.010277339375170414,1.8221788048577993e-05,-0.012893746607005596,0.0044653285,0.018359375,350,0.011288106441497803,0.0003,1.2560210943222045
-12.539147533333333,75776,999.0,1086,37,69,0.06264926493167877,0.2,-0.010420338230323978,2.4950070947227233e-05,-0.01000975351780653,0.00452579,0.017724609375,360,0.0009175539016723633,0.0003,1.3211229100823403
-12.223237571428571,77824,999.0,1084,38,71,0.059068530797958374,0.2,-0.008539630174345803,2.1968525557980457e-05,-0.010165336541831493,0.0047749663,0.015673828125,370,-0.006286025047302246,0.0003,1.3827395096421242
-11.922085696202533,79872,999.0,1084,39,73,0.05550520494580269,0.2,-0.010479801453766414,9.796475346846023e-06,-0.02738019824028015,0.004928115,0.02587890625,380,-0.0045670270919799805,0.0003,1.4444620922207831
-11.497031219512195,81920,999.0,1084,40,75,0.052423376590013504,0.2,-0.009379633857315639,6.061246624256001e-06,-0.007831916213035583,0.0054570893,0.023974609375,390,0.03260672092437744,0.0003,1.5023571219295264
-11.229332833333334,83968,999.0,1084,41,77,0.04935957118868828,0.2,-0.008859793448937125,9.911428271180967e-06,-0.028873905539512634,0.004085042,0.01201171875,400,0.01686185598373413,0.0003,1.560566259175539
-10.97316096511628,86016,999.0,1084,42,79,0.04644323140382767,0.2,-0.009620688752329442,4.499407427971391e-06,-0.032069455832242966,0.0042672907,0.02060546875,410,-0.009453415870666504,0.0003,1.6263347536325454
-10.728141874999999,88064,999.0,1084,43,81,0.043860793113708496,0.2,-0.00788952219809289,7.835396615263335e-06,-0.01295245811343193,0.003466169,0.011962890625,420,-0.06887567043304443,0.0003,1.6810170873999595
-10.493367166666667,90112,999.0,1083,44,83,0.041308026760816574,0.2,-0.008567929794662633,5.258496273974345e-06,-0.017712268978357315,0.0036351313,0.013720703125,430,-0.01076805591583252,0.0003,1.7403924278914928
-10.268767804347828,92160,999.0,1083,45,85,0.03901171311736107,0.2,-0.007675098993058782,1.1641486654845324e-05,-0.013193819671869278,0.0039989064,0.014892578125,440,-0.06698846817016602,0.0003,1.7969820860773325
-10.053151797872342,94208,999.0,1083,46,86,0.03667518123984337,0.2,-0.010711315562366508,2.396448020842712e-05,-0.011817089281976223,0.0046443692,0.019873046875,450,0.01698136329650879,0.0003,1.8581177085638045
-9.84633375,96256,999.0,1083,47,88,0.03463723883032799,0.2,-0.00824102577607846,4.691195137951354e-06,-0.011907373555004597,0.0037058578,0.0123046875,460,0.019459307193756104,0.0003,1.916870265454054
-9.64764730612245,98304,999.0,1083,48,90,0.032850753515958786,0.2,-0.006692543079407187,1.6831532895666967e-06,-0.00329447234980762,0.002688079,0.010400390625,470,-0.051074981689453125,0.0003,1.9709046065807343
-9.45665738,100352,999.0,1083,49,92,0.031075645238161087,0.2,-0.00867934302368667,2.6152117227340455e-06,-0.009490147233009338,0.0037055803,0.01494140625,480,-0.026137948036193848,0.0003,2.027963434159756
-8.420956819999999,102400,999.0,1083,50,94,0.029469680041074753,0.2,-0.00717971031772322,2.2564054880147565e-05,-0.011454829946160316,0.0033073144,0.009423828125,490,-0.035750508308410645,0.0003,2.080243843048811
-7.456044110000001,104448,999.0,1082,51,96,0.02819060906767845,0.2,-0.006609427528746892,2.9732394317694144e-06,-0.008806100115180016,0.0035419618,0.016455078125,500,0.01349705457687378,0.0003,2.130032609403133
-6.5635030599999995,106496,999.0,1082,52,98,0.02713705413043499,0.2,-0.005398278478241991,0.0002505664098176208,0.020883891731500626,0.0032048994,0.02705078125,510,-0.1197594404220581,0.0003,2.168839253485203
-5.7341841,108544,999.0,1082,53,100,0.025985153391957283,0.2,-0.00554225355226663,8.693826097916357e-07,-0.01614806428551674,0.0030202204,0.02666015625,520,-0.11199319362640381,0.0003,2.2114507749676706
-5.02032537,110592,999.0,1082,54,102,0.024677472189068794,0.2,-0.006514913201681338,6.283229177950211e-07,-0.023172011598944664,0.003392395,0.01689453125,530,0.0339236855506897,0.0003,2.2561888068914415
-4.34474747,112640,999.0,1082,55,104,0.023444458842277527,0.2,-0.008861587696446804,2.3033952002649017e-06,-0.00018070651276502758,0.003972246,0.014404296875,540,-0.010023832321166992,0.0003,2.3133609876036645
-3.7531149100000003,114688,999.0,1082,56,105,0.022115617990493774,0.2,-0.009578374057309703,2.6141755617992144e-07,-0.03246210142970085,0.004056935,0.020263671875,550,-0.021416187286376953,0.0003,2.364153303205967
-3.2328444700000007,116736,999.0,1082,57,107,0.021123986691236496,0.2,-0.00839722720120335,2.0851616666650585e-07,-0.014871083199977875,0.0050124186,0.028125,560,0.020531058311462402,0.0003,2.416776120662689
-2.79124951,118784,999.0,1082,58,109,0.02003108337521553,0.2,-0.00734357999972417,3.717766924915544e-05,-0.00787507276982069,0.005278877,0.02919921875,570,-0.025763988494873047,0.0003,2.4673981755971908
-2.4140386800000004,120832,999.0,1082,59,111,0.018894782289862633,0.2,-0.008808427421899977,1.3495704074828473e-07,-0.03326357528567314,0.003956115,0.01962890625,580,-0.03251314163208008,0.0003,2.5231204316020013
-1.9425854599999999,122880,999.0,1081,60,113,0.017936544492840767,0.2,-0.0075299713993445035,1.2562567256457768e-07,-0.023325711488723755,0.0029864043,0.0119140625,590,-0.00023114681243896484,0.0003,2.5768733233213426
-1.6852776300000003,124928,999.0,1081,61,115,0.017039017751812935,0.2,-0.006934488867409527,1.194822948497043e-07,-0.020085303112864494,0.004493602,0.017333984375,600,0.01210331916809082,0.0003,2.628552621603012
-1.4515727900000002,126976,999.0,1081,62,117,0.016238762065768242,0.2,-0.007913949497742578,5.6831447217686734e-08,-0.0011329761473461986,0.0047604097,0.023583984375,610,0.0038837790489196777,0.0003,2.6794326923787595
-1.2670748900000002,129024,999.0,1081,63,119,0.015566636808216572,0.2,-0.007459424852277153,8.807376757624663e-08,-0.005642876494675875,0.008513644,0.066162109375,620,0.0011510848999023438,0.0003,2.723579204827547
-1.0989824800000003,131072,999.0,1081,64,121,0.014851692132651806,0.2,-0.009885852040315512,1.9137575248684424e-07,-0.0164784025400877,0.007967988,0.05927734375,630,0.03839278221130371,0.0003,2.7678247913718224
-0.9606135800000001,133120,999.0,1081,65,123,0.01414781715720892,0.2,-0.0065638503168884196,8.389081108117757e-08,-0.0031675598584115505,0.0026014755,0.015185546875,640,-0.07271921634674072,0.0003,2.815575224906206
-0.83766826,135168,999.0,1081,66,125,0.013393855653703213,0.2,-0.009371084728627466,0.0003990111765041049,-0.0015598867321386933,0.0047969897,0.022021484375,650,0.011745810508728027,0.0003,2.868724174797535
-0.7339891000000001,137216,999.0,1081,67,126,0.012925278395414352,0.2,-0.0035605536628281697,3.025518213739531e-08,-0.014353148639202118,0.0025443383,0.02548828125,660,-0.4560868740081787,0.0003,2.9132108449935914
-0.6400942700000001,139264,999.0,1080,68,128,0.012439237907528877,0.2,-0.003307116387441056,3.840009058786453e-08,-0.0014282213523983955,0.0016581214,0.0205078125,670,-0.6156102418899536,0.0003,2.9508182808756827
-0.56317524,141312,999.0,1080,69,130,0.011948946863412857,0.2,-0.005075222568120807,3.006148479312021e-08,-0.004993919283151627,0.005199239,0.01787109375,680,-0.7238614559173584,0.0003,2.991084995120764
-0.49299761,143360,999.0,1080,70,132,0.011418348178267479,0.2,-0.006537973505328409,1.1527066295924371e-08,-0.017097733914852142,0.0033360156,0.013525390625,690,-0.24238812923431396,0.0003,3.032641216367483
-0.43347527999999996,145408,999.0,1080,71,134,0.01111831795424223,0.2,-0.0009461064852075652,2.324184719126876e-08,-0.00245580798946321,0.002972085,0.0248046875,700,-0.708855390548706,0.0003,3.068738604336977
-0.38113467999999995,147456,999.0,1080,72,136,0.010746261104941368,0.2,-0.002705609930853825,3.904248802311105e-08,-0.012025853618979454,0.0023534312,0.008203125,710,-0.5499054193496704,0.0003,3.0976937778294085
-0.33428863999999997,149504,999.0,1080,73,138,0.010413279756903648,0.2,-0.0009951209874998312,1.5996587773847714e-08,-0.005764592904597521,0.0043421756,0.045654296875,720,-0.9728888273239136,0.0003,3.1301303185522555
-0.29417114,151552,999.0,1080,74,140,0.010012987069785595,0.2,-0.004759326070779934,1.1834385361952915e-08,-0.023871589452028275,0.005580959,0.03173828125,730,-0.8782902956008911,0.0003,3.168264463543892
-0.25789598,153600,999.0,1080,75,142,0.009629414416849613,0.2,-0.0035576721726101822,1.357905076021515e-08,-0.005255920346826315,0.0026809806,0.019384765625,740,-0.43332648277282715,0.0003,3.204038295149803
-0.22712609,155648,999.0,1080,76,144,0.009289228357374668,0.2,-0.002867159305606037,1.3548085806142086e-07,0.0014690383104607463,0.0023305155,0.029931640625,750,-0.8996047973632812,0.0003,3.2445035085082052
-0.20159263000000002,157696,999.0,1080,77,145,0.009041900746524334,0.2,-0.0010801513519254514,6.924120379378506e-07,0.012630205601453781,0.004212574,0.03359375,760,-0.9145052433013916,0.0003,3.273765575885773
-0.17934511999999997,159744,999.0,1080,78,147,0.008791967295110226,0.2,-0.001584303439449286,6.785212313120681e-07,-0.0067463829182088375,0.0017316093,0.032080078125,770,-0.7306249141693115,0.0003,3.300331524014473
-0.15896389,161792,999.0,1080,79,149,0.00846141204237938,0.2,-0.002848187170457095,8.775096693544592e-07,-0.011642939411103725,0.0049261893,0.02666015625,780,-0.4997745752334595,0.0003,3.3346584662795067
-0.13350534,163840,999.0,1080,80,151,0.008140047080814838,0.2,-0.004329173949372489,4.4207144938480934e-05,0.002775410423055291,0.0040058345,0.0333984375,790,-0.5702259540557861,0.0003,3.3724910467863083
-0.11921539999999999,165888,999.0,1080,81,153,0.007786796893924475,0.2,-0.002772622175689321,1.4216608102309015e-07,-0.02559070475399494,0.002476357,0.031787109375,800,-0.6268117427825928,0.0003,3.4141807675361635
-0.10609544000000001,167936,999.0,1079,82,155,0.0076940045692026615,0.2,0.0016335599022568204,6.525010035530188e-05,0.008623150177299976,0.0038751387,0.05205078125,810,-1.000009536743164,0.0003,3.4429059542715548
-0.09459883,169984,999.0,1079,83,157,0.007684182375669479,0.2,0.0011714566382579506,2.886379762423452e-08,-0.010164965875446796,0.0062799905,0.051708984375,820,-1.4459412097930908,0.0003,3.4505178406834602
-0.08466728,172032,999.0,1079,84,159,0.007315953262150288,0.2,-0.005126333601947408,6.576182698739275e-09,0.008146681822836399,0.006043702,0.040869140625,830,-0.2158874273300171,0.0003,3.4746252939105036
