rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
23.01123595505618,23.01123595505618,1959,2048,1,1,,,,,,,,,,
25.0,25.0,1220,4096,3,2,-0.014424136574962176,0.100341796875,56.36156402230263,8.653400421142578,0.2,-0.686387037113309,0.01304781436920166,10,0.0003,0.00803975
33.61,33.61,1090,6144,5,3,-0.017829153611091896,0.071484375,35.54290457069874,9.955646514892578,0.2,-0.6639614591374994,0.09768390655517578,20,0.0003,0.010358369
45.99,45.99,1037,8192,7,4,-0.020125446160091088,0.092919921875,50.02421715259552,22.47765350341797,0.2,-0.6372263027355075,0.2828896641731262,30,0.0003,0.011659215
61.49,61.49,1002,10240,10,5,-0.018979927884356585,0.08681640625,63.7193202495575,17.791019439697266,0.2,-0.6050097750499844,0.2874273657798767,40,0.0003,0.010904394
75.5,75.5,971,12288,12,6,-0.011802341077418533,0.060986328125,58.184520077705386,20.182926177978516,0.2,-0.5870898403227329,0.4460550546646118,50,0.0003,0.00810262
93.0,93.0,952,14336,15,7,-0.011175535430083983,0.0416015625,50.16754062175751,15.373233795166016,0.2,-0.5761456118896604,0.6212784051895142,60,0.0003,0.0077567548
110.59,110.59,946,16384,17,8,-0.012203597863845062,0.08837890625,44.423432040214536,23.485950469970703,0.2,-0.5763530110940337,0.7205254137516022,70,0.0003,0.0073720654
125.23,125.23,943,18432,19,9,-0.006669709364359733,0.060546875,32.3103204831481,7.996341705322266,0.2,-0.5716205418109894,0.8286208957433701,80,0.0003,0.0037276235
147.42,147.42,936,20480,21,10,-0.009993584669427947,0.054736328125,22.156585037708282,1.2411255836486816,0.2,-0.5729746948927641,0.7053020894527435,90,0.0003,0.004951764
162.96,162.96,935,22528,24,11,-0.004356232188001741,0.01494140625,66.12660310566426,8.61333179473877,0.2,-0.564678612165153,0.5168140232563019,100,0.0003,0.0016844155
181.45,181.45,934,24576,26,12,-0.0066940664240974,0.045556640625,13.939588598906994,5.348666667938232,0.2,-0.5680949522182346,0.9490830898284912,110,0.0003,0.0047502453
198.29,198.29,930,26624,28,13,-0.004186932673474075,0.0169921875,34.1592773411423,11.178098678588867,0.2,-0.5370915360748768,0.4164789915084839,120,0.0003,0.0049570166
214.38,214.38,925,28672,30,14,-0.009063793403038289,0.04912109375,3.4446997393853964,0.37562015652656555,0.2,-0.5307126344181597,0.9522450864315033,130,0.0003,0.0039815563
232.98,232.98,924,30720,33,15,-0.010587744740769267,0.076171875,2.1451811387669295,0.1834968477487564,0.2,-0.5220173886977136,0.9350348562002182,140,0.0003,0.0076032947
250.2,250.2,923,32768,35,16,-0.004081754203070886,0.056298828125,1.255708049389068,0.13944445550441742,0.2,-0.5214445713907481,0.5551819205284119,150,0.0003,0.0044861827
270.8,270.8,922,34816,37,17,-0.017635071760741992,0.116015625,2.0937829410657285,0.49561887979507446,0.2,-0.525053443480283,0.9734985791146755,160,0.0003,0.007713697
288.0,288.0,923,36864,39,18,-0.004674667559447699,0.054833984375,0.4314726893557236,0.030254699289798737,0.2,-0.5175323684699833,0.9914657277986407,170,0.0003,0.006530449
