train/explained_variance,train/n_updates,train/policy_loss,train/value_loss,train/std,time/iterations,time/fps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean
-20.21257209777832,99,0.4376923143863678,0.09396668523550034,0.9611956477165222,100,630,0.0007,0,-1.378806710243225,500,,
-2.3361363410949707,199,0.2543942332267761,0.08975768089294434,0.9405744075775146,200,625,0.0007,1,-1.3584080934524536,1000,-52.374417,999.0
-11.342689514160156,299,-0.12496411800384521,0.017394566908478737,0.9048235416412354,300,619,0.0007,2,-1.3186407089233398,1500,-52.374417,999.0
-2.9480152130126953,399,0.10607369244098663,0.01034545712172985,0.8805307745933533,400,614,0.0007,3,-1.291998028755188,2000,-52.4134645,999.0
0.5544042885303497,499,-0.007009426597505808,0.0010371069656684995,0.8418780565261841,500,614,0.0007,4,-1.246968150138855,2500,-52.4134645,999.0
0.707442969083786,599,-0.043853551149368286,0.0027317937929183245,0.8116007447242737,600,612,0.0007,4,-1.2097952365875244,3000,-50.396590333333336,999.0
-4.315104007720947,699,-0.3356930613517761,0.05127596855163574,0.7751395106315613,700,611,0.0007,5,-1.1651074886322021,3500,-50.396590333333336,999.0
-3.707564353942871,799,-0.22681491076946259,0.03457752615213394,0.7471330165863037,800,609,0.0007,6,-1.1277631521224976,4000,-48.32280825,999.0
-0.1455390453338623,899,-0.045366495847702026,0.002726661739870906,0.706233024597168,900,607,0.0007,7,-1.0714083909988403,4500,-48.32280825,999.0
-0.8790502548217773,999,-0.10030762106180191,0.010845871642231941,0.6740001440048218,1000,606,0.0007,8,-1.02431321144104,5000,-45.992641000000006,999.0
-1.264049768447876,1099,-0.018548663705587387,0.001084310351870954,0.6399405002593994,1100,605,0.0007,9,-0.973120391368866,5500,-45.992641000000006,999.0
0.22088122367858887,1199,-0.0002986527979373932,0.0014732766430824995,0.610679030418396,1200,606,0.0007,9,-0.9260205030441284,6000,-43.68381016666667,999.0
-1.093719482421875,1299,0.03193250298500061,0.0063156732358038425,0.5805560946464539,1300,605,0.0007,10,-0.8759870529174805,6500,-43.68381016666667,999.0
-1.4022328853607178,1399,-0.019877349957823753,0.0021854350343346596,0.5483589768409729,1400,604,0.0007,11,-0.8188865780830383,7000,-41.58975657142857,999.0
-0.008513927459716797,1499,-0.005454619415104389,0.00017586904868949205,0.519701361656189,1500,604,0.0007,12,-0.7645512223243713,7500,-41.58975657142857,999.0
0.9642663076519966,1599,-0.052388451993465424,0.0023107281886041164,0.4932549297809601,1600,604,0.0007,13,-0.7127439379692078,8000,-39.512572125,999.0
0.18287873268127441,1699,0.007728523574769497,0.00047395419096574187,0.47331732511520386,1700,602,0.0007,14,-0.6710747480392456,8500,-39.512572125,999.0
-0.10370564460754395,1799,0.0016767345368862152,0.0007893980364315212,0.45500874519348145,1800,602,0.0007,14,-0.6317679286003113,9000,-37.55969266666667,999.0
-0.07694780826568604,1899,-0.04336262494325638,0.0021914783865213394,0.4351522624492645,1900,601,0.0007,15,-0.5873054265975952,9500,-37.55969266666667,999.0
-0.2644716501235962,1999,0.0023750404361635447,0.0003379993140697479,0.4178076386451721,2000,602,0.0007,16,-0.5463600158691406,10000,-35.686132300000004,999.0
-0.14461171627044678,2099,0.00561371399089694,0.0004932294832542539,0.4012949764728546,2100,602,0.0007,17,-0.5060153007507324,10500,-35.686132300000004,999.0
-0.6894649267196655,2199,0.0030018750112503767,0.0002675031137187034,0.38781532645225525,2200,602,0.0007,18,-0.47182902693748474,11000,-33.83216363636364,999.0
-0.6165051460266113,2299,0.006342325359582901,0.0012177856406196952,0.3717624545097351,2300,602,0.0007,19,-0.4296826422214508,11500,-33.83216363636364,999.0
0.133764386177063,2399,-0.004445457365363836,0.00011743461800506338,0.35826438665390015,2400,602,0.0007,19,-0.3926643133163452,12000,-32.163914250000005,999.0
0.03299504518508911,2499,-0.004267611540853977,0.00017586462490726262,0.3450143039226532,2500,601,0.0007,20,-0.3549346923828125,12500,-32.163914250000005,999.0
0.05156910419464111,2599,0.001763568609021604,0.00023239338770508766,0.3305891156196594,2600,601,0.0007,21,-0.3121633529663086,13000,-30.61288661538462,999.0
-0.14731943607330322,2699,-0.00041465467074885964,2.2789075956097804e-05,0.3179316818714142,2700,601,0.0007,22,-0.27302122116088867,13500,-30.61288661538462,999.0
0.06947112083435059,2799,-0.0013832764234393835,7.939372153487056e-05,0.30895698070526123,2800,601,0.0007,23,-0.2445065975189209,14000,-29.15440257142858,999.0
0.003341078758239746,2899,-0.0018187003443017602,6.72229944029823e-05,0.29801735281944275,2900,601,0.0007,24,-0.20835864543914795,14500,-29.15440257142858,999.0
0.13622015714645386,2999,-0.012226048856973648,0.0002599828876554966,0.28730323910713196,3000,601,0.0007,24,-0.17225301265716553,15000,-27.808768066666673,999.0
-0.8783557415008545,3099,-0.0031676299404352903,0.0007179357344284654,0.2781341075897217,3100,601,0.0007,25,-0.1395326852798462,15500,-27.808768066666673,999.0
0.145086407661438,3199,-0.02197335846722126,0.000864779285620898,0.2689512372016907,3200,601,0.0007,26,-0.10645067691802979,16000,-26.5370164375,999.0
0.4338456988334656,3299,-0.00016043249343056232,6.509602826554328e-05,0.2620178759098053,3300,602,0.0007,27,-0.07963037490844727,16500,-26.5370164375,999.0
-0.07370150089263916,3399,-0.004785905126482248,0.00019400144810788333,0.25410136580467224,3400,602,0.0007,28,-0.049229979515075684,17000,-25.371979235294116,999.0
