time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
1,1,2048,1906,,,,,,,,,,,,
3,2,4096,1327,-1.0981255315244198,-0.0005823474573844578,0.0019192675,0.0003,0.0,19.99339485168457,0.2,161.15328472852707,0.00015813112258911133,10,,
5,3,6144,1190,-1.096960712224245,-0.000452377265173709,0.0019278957,0.0003,0.0,15.114921569824219,0.2,103.62350999712945,0.10059547424316406,20,,
7,4,8192,1136,-1.0980520747601985,-0.00020538455028145107,0.0007060219,0.0003,0.0,18.384620666503906,0.2,97.30661973953247,-0.12620890140533447,30,,
9,5,10240,1103,-1.098377700522542,-0.0001565295438922476,0.0010939029,0.0003,0.0,13.632959365844727,0.2,79.06269540786744,-0.04814457893371582,40,,
11,6,12288,1085,-1.092098204791546,-0.00320177167741349,0.0127256885,0.0003,0.04814453125,10.123641967773438,0.2,63.64658164381981,0.11795836687088013,50,,
13,7,14336,1075,-1.0858828458935021,-0.001318012413867109,0.0083459765,0.0003,0.029541015625,6.488332748413086,0.2,49.073846182227136,-0.016951441764831543,60,,
15,8,16384,1061,-1.0664546575397253,-0.0031605901440343587,0.016948134,0.0003,0.0974609375,3.338837146759033,0.2,36.0234651401639,-0.01691603660583496,70,,
17,9,18432,1055,-1.058781934902072,-0.00012152103445259855,0.0051480765,0.0003,0.00244140625,1.193801760673523,0.2,25.153523579239845,-0.0021734237670898438,80,,
19,10,20480,1052,-1.038856413587928,-0.001454365043900907,0.009072143,0.0003,0.037890625,0.4385462999343872,0.2,16.485178886540233,-0.009131073951721191,90,,
21,11,22528,1048,-1.0375972665846347,-0.0014534323316183872,0.00971798,0.0003,0.074462890625,0.1303059458732605,0.2,9.980918378403112,0.003748774528503418,100,,
23,12,24576,1046,-0.9673625133931637,0.0004832535567402374,0.00908201,0.0003,0.03037109375,-0.002478561131283641,0.2,6.502748905642693,-0.02255117893218994,110,,
25,13,26624,1042,-0.9994243986904621,-0.0015554714133031665,0.007156307,0.0003,0.038623046875,-0.002611675299704075,0.2,3.6646624096025335,-0.004617214202880859,120,-24855.0,24855.0
27,14,28672,1038,-0.9747707085683942,-0.0015635654592188076,0.0057031373,0.0003,0.01318359375,3.5409634113311768,0.2,21.842274845647626,0.004625916481018066,130,-14318.0,14318.0
29,15,30720,1035,-0.9690151773393154,-0.0007817124504072126,0.0009879535,0.0003,0.0,0.7556653022766113,0.2,16.060687616467476,0.7248663306236267,140,-14318.0,14318.0
31,16,32768,1034,-0.9472233593463898,0.00011682806725730189,0.005948203,0.0003,0.038525390625,0.006035821978002787,0.2,0.7866088078846474,0.0014943480491638184,150,-14318.0,14318.0
33,17,34816,1032,-0.9718431672081351,-0.001415978312434163,0.004593175,0.0003,0.017919921875,-0.015656134113669395,0.2,0.45311000492779385,-0.020092487335205078,160,-11388.666666666666,11388.666666666666
35,18,36864,1031,-0.9716642823070287,-0.0013364685986744008,0.00609013,0.0003,0.002783203125,23.11525535583496,0.2,17.207209157571196,0.7441065013408661,170,-8847.75,8847.75
37,19,38912,1028,-0.9578284408897162,-0.0005315043506925576,0.00032719868,0.0003,0.0,53.748783111572266,0.2,38.30350807718933,0.4966144561767578,180,-8847.75,8847.75
39,20,40960,1027,-0.9376396829262376,-0.0035278798597573767,0.009306004,0.0003,0.005517578125,2.0306122303009033,0.2,1.7390145727433264,-0.29559075832366943,190,-7838.0,7838.0
41,21,43008,1025,-0.9363933464512229,-0.001637497532829002,0.0042288424,0.0003,0.0,6.31382417678833,0.2,15.358061569323763,0.5362028181552887,200,-7149.333333333333,7149.333333333333
43,22,45056,1024,-0.8984306154772639,-0.0004605218673532363,0.011489385,0.0003,0.002978515625,14.246736526489258,0.2,22.800803636573256,0.5655637383460999,210,-6268.428571428572,6268.428571428572
46,23,47104,1022,-0.83434744682163,-0.0006088548627303681,0.0025843135,0.0003,0.0,5.218694686889648,0.2,21.697042529005557,0.6897290050983429,220,-6268.428571428572,6268.428571428572
48,24,49152,1021,-0.7286142555996775,-0.003868222796154441,0.009687351,0.0003,0.131298828125,0.027111856266856194,0.2,0.03702966231867322,0.4102727174758911,230,-6268.428571428572,6268.428571428572
50,25,51200,1019,-0.6959546629339457,-0.0037031175226729827,0.0072919526,0.0003,0.02275390625,0.0981382429599762,0.2,0.6430701892822981,-0.8679593801498413,240,-6220.25,6220.25
52,26,53248,1018,-0.6737805316224694,-0.00024143142509274184,0.0016711024,0.0003,0.000341796875,14.866949081420898,0.2,20.74978012465872,0.48822349309921265,250,-6220.25,6220.25
54,27,55296,1017,-0.5994263572618366,-0.00248400149284862,0.023476824,0.0003,0.1546875,-0.006328101269900799,0.2,0.018259970153303585,-0.9486589431762695,260,-6220.25,6220.25
56,28,57344,1016,-0.5065676593221724,-0.0005995573868858628,0.0063432,0.0003,0.0716796875,0.01774049736559391,0.2,0.008583675274076085,-0.4818183183670044,270,-6220.25,6220.25
58,29,59392,1016,-0.5041371302679181,-0.002492734910629224,0.003713626,0.0003,0.018359375,-0.01610761135816574,0.2,0.027128164955502142,-0.5151101350784302,280,-6437.888888888889,6437.888888888889
60,30,61440,1016,-0.4644332422874868,-0.00039540156794828365,0.0016529921,0.0003,0.0015625,0.2452508509159088,0.2,14.790466274716891,0.4991336464881897,290,-6437.888888888889,6437.888888888889
62,31,63488,1016,-0.41183569030836226,-0.0033895629821927287,0.0026766667,0.0003,0.02568359375,0.028842199593782425,0.2,0.04562798309343634,0.6342983245849609,300,-6165.0,6165.0
64,32,65536,1015,-0.3598055592738092,-0.0004609982859619777,0.0016530949,0.0003,0.006005859375,0.7343903183937073,0.2,14.281000647693872,0.7203117907047272,310,-6165.0,6165.0
66,33,67584,1014,-0.39029242414981125,-0.0013673323312104913,0.001907393,0.0003,0.016552734375,0.05287473276257515,0.2,0.11808929685503244,-0.8921345472335815,320,-6074.454545454545,6074.454545454545
68,34,69632,1013,-0.40453112944960595,-0.0013039384703006363,0.0007416451,0.0003,0.0,11.099138259887695,0.2,21.549170018173754,0.630655437707901,330,-6074.454545454545,6074.454545454545
70,35,71680,1012,-0.2537341812159866,-0.00011371055879862979,0.0018503712,0.0003,0.015771484375,0.001415957580320537,0.2,0.0033541167573275742,-1.7440273761749268,340,-6074.454545454545,6074.454545454545
72,36,73728,1012,-0.27913084723986686,-0.001305383030558005,0.006827374,0.0003,0.022802734375,-0.014660841785371304,0.2,0.008118919833941618,-0.898780107498169,350,-6053.166666666667,6053.166666666667
74,37,75776,1012,-0.28898307313211263,-0.0003558524607797153,0.0010172194,0.0003,9.765625e-05,21.818557739257812,0.2,22.61983219818212,0.5540827512741089,360,-6053.166666666667,6053.166666666667
