rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
500.0,-500.0,1337,2048,1,1,,,,,,,,,,
493.375,-493.125,894,4096,4,2,-0.001948097469721688,0.00576171875,135.18773770928382,15.537625312805176,0.2,-1.0960622422397137,-0.03550159931182861,10,0.0003,0.007512297
461.0,-460.53846153846155,812,6144,7,3,-0.0058167651703115554,0.0310546875,113.22798719406128,24.302082061767578,0.2,-1.0789870221167803,0.3712586760520935,20,0.0003,0.006158491
430.89473684210526,-430.3157894736842,770,8192,10,4,-0.006392008526017889,0.0513671875,97.96854331493378,21.883329391479492,0.2,-1.067614372819662,0.15958011150360107,30,0.0003,0.0065136617
387.38461538461536,-386.6923076923077,745,10240,13,5,-0.008486997931322548,0.081689453125,88.34451755285264,19.107662200927734,0.2,-1.043200597912073,0.1654234528541565,40,0.0003,0.009554143
357.29411764705884,-356.52941176470586,731,12288,16,6,-0.004610164534824435,0.05048828125,76.41612833738327,24.546527862548828,0.2,-1.0193669067695736,0.20994144678115845,50,0.0003,0.007067951
330.25581395348837,-329.4418604651163,714,14336,20,7,-0.00771102656108269,0.069189453125,80.22542542815208,27.59178924560547,0.2,-1.0041076084598899,0.228346049785614,60,0.0003,0.008109158
299.9259259259259,-299.0740740740741,697,16384,23,8,-0.005778200369968544,0.062353515625,66.31812535524368,17.409080505371094,0.2,-0.9398666502907872,0.4562813639640808,70,0.0003,0.010953443
270.88235294117646,-270.0,688,18432,26,9,-0.006471314365626313,0.059375,66.48352747559548,22.59135627746582,0.2,-0.8790882004424929,0.5874618887901306,80,0.0003,0.009042042
243.20238095238096,-242.29761904761904,686,20480,29,10,-0.00803207376447972,0.0765625,52.23414849042892,27.391286849975586,0.2,-0.8184252452105284,0.7296460568904877,90,0.0003,0.008894246
220.06,-219.13,682,22528,32,11,-0.005583443252544384,0.0591796875,42.90265365242958,15.300616264343262,0.2,-0.7640805229544639,0.77016381919384,100,0.0003,0.0057214806
163.39,-162.39,680,24576,36,12,-0.0065020270209060985,0.0859375,34.29279765486717,15.217545509338379,0.2,-0.7003825325518847,0.8820003643631935,110,0.0003,0.007012666
135.02,-134.02,673,26624,39,13,-0.004311285766743822,0.04384765625,33.7796687245369,12.150546073913574,0.2,-0.6588821111246943,0.8706815838813782,120,0.0003,0.005521686
126.76,-125.76,670,28672,42,14,-0.005383407651970628,0.047314453125,24.528939712047578,10.386165618896484,0.2,-0.5967507182620466,0.913529247045517,130,0.0003,0.0053245993
115.47,-114.47,669,30720,45,15,-0.0030202886322513224,0.031494140625,28.09176730811596,17.42832374572754,0.2,-0.5818219760432839,0.8564236760139465,140,0.0003,0.00440453
114.87,-113.87,669,32768,48,16,-0.005546868475357769,0.041455078125,33.11631216108799,13.877777099609375,0.2,-0.5205487177707255,0.8787291273474693,150,0.0003,0.0042662374
111.25,-110.25,669,34816,51,17,-0.004489485640078783,0.029052734375,26.093039643764495,12.525130271911621,0.2,-0.5169477860443294,0.8098130226135254,160,0.0003,0.010581391
107.41,-106.41,675,36864,54,18,-0.008392310013005045,0.08369140625,27.483967235684396,12.896392822265625,0.2,-0.5171875689178705,0.8704833537340164,170,0.0003,0.009288956
99.19,-98.19,681,38912,57,19,-0.005472117721365066,0.043310546875,27.116480520367624,15.822256088256836,0.2,-0.49645507205277684,0.8955302983522415,180,0.0003,0.004959493
102.34,-101.34,687,40960,59,20,-0.002617247509624576,0.024072265625,27.686021408438684,15.781054496765137,0.2,-0.4681537548080087,0.8892479985952377,190,0.0003,0.002812305
96.57,-95.57,691,43008,62,21,-0.002984412381920265,0.021875,29.69712614417076,11.149486541748047,0.2,-0.43822154123336077,0.8336041569709778,200,0.0003,0.002992062
96.28,-95.28,696,45056,64,22,-0.002822832244783058,0.0275390625,21.668302755057812,5.031479835510254,0.2,-0.4636530383490026,0.899016797542572,210,0.0003,0.0027675799
95.39,-94.39,701,47104,67,23,-0.006448940184782259,0.05498046875,26.14918351471424,8.5440034866333,0.2,-0.4388951962813735,0.876060739159584,220,0.0003,0.0048085055
95.35,-94.35,706,49152,69,24,-0.004323836270486936,0.034912109375,24.218550315499307,11.111804008483887,0.2,-0.3845409475266933,0.9000530317425728,230,0.0003,0.0035877044
96.37,-95.37,710,51200,72,25,-0.002873501758585917,0.020166015625,17.035063199698925,8.229695320129395,0.2,-0.3875145771540701,0.9148012027144432,240,0.0003,0.0025919045
99.89,-98.89,714,53248,74,26,-0.0034662538513657638,0.036962890625,24.87311033606529,9.644661903381348,0.2,-0.4151377538219094,0.8291153907775879,250,0.0003,0.0045553017
99.69,-98.69,718,55296,76,27,-0.002410065043659415,0.018212890625,28.312097576260566,9.713592529296875,0.2,-0.42058572713285686,0.7501268833875656,260,0.0003,0.0029476793
100.45,-99.45,721,57344,79,28,-0.004157315299380571,0.031298828125,18.164389100670814,9.825130462646484,0.2,-0.31650833366438746,0.9203844368457794,270,0.0003,0.0033469135
97.75,-96.75,724,59392,82,29,-0.0033106361785030457,0.02236328125,23.014124703407287,8.296456336975098,0.2,-0.31985108568333087,0.8864003047347069,280,0.0003,0.0024407348
88.82,-87.82,726,61440,84,30,-0.003685309302818496,0.016748046875,18.975179924070837,8.34776496887207,0.2,-0.2953178423922509,0.9113855883479118,290,0.0003,0.0020560115
87.92,-86.92,726,63488,87,31,-0.003234695601713611,0.0212890625,18.280904066562652,9.244864463806152,0.2,-0.2656483864877373,0.9298667162656784,300,0.0003,0.002427815
88.58,-87.58,726,65536,90,32,-0.004326641256193397,0.023779296875,19.907547564804553,10.488463401794434,0.2,-0.2848327567335218,0.906278058886528,310,0.0003,0.003304268
88.93,-87.93,728,67584,92,33,-0.0015390365279017715,0.00732421875,27.069050759077072,9.066067695617676,0.2,-0.23871321487240493,0.8322121500968933,320,0.0003,0.0013013016
