time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
6400,0.0003,109,4,6299,-79.723041,-12.54574966430664,0.1515207141637802,1600.0,-27.796133041381836,58,0.018573682755231857
12800,0.0003,221,8,12699,-68.592956625,-20.126869201660156,0.02323521114885807,1600.0,-22.868885040283203,57,0.015440290793776512
13090,0.0003,226,12,12989,-83.00662116666668,-22.99173927307129,0.021427400410175323,1090.8333333333333,-22.73857879638672,57,0.04358573257923126
13361,0.0003,231,16,13260,-91.91626881250001,-14.749273300170898,0.020009486004710197,835.0625,-22.457271575927734,57,51.10609436035156
13613,0.0003,236,20,13512,-97.14345460000001,-15.653765678405762,0.018767938017845154,680.65,-22.265274047851562,57,0.5231660604476929
13883,0.0003,240,24,13782,-100.89972241666668,-11.28652572631836,0.01775112748146057,578.4583333333334,-21.971141815185547,57,1.2897582054138184
14197,0.0003,246,28,14096,-103.39558110714287,-12.634856224060059,0.01673324592411518,507.0357142857143,-22.118505477905273,57,0.35817039012908936
14691,0.0003,254,32,14590,-104.46838481249999,-8.242380142211914,0.015288672409951687,459.09375,-22.47087860107422,57,0.31944704055786133
15047,0.0003,261,36,14946,-105.92779863888887,-5.259044647216797,0.014363741502165794,417.97222222222223,-21.54246711730957,57,1.765899419784546
15813,0.0003,274,40,15712,-107.09547554999999,-6.678179740905762,0.012796898372471333,395.325,-20.633920669555664,57,0.8542234897613525
16308,0.0003,283,44,16207,-108.27986318181816,-0.4776293635368347,0.011936202645301819,370.6363636363636,-20.30779266357422,57,0.677027702331543
16785,0.0003,291,48,16684,-109.08110391666666,-1.590389370918274,0.011279736645519733,349.6875,-17.968639373779297,57,1.1397018432617188
17173,0.0003,298,52,17072,-110.13065674999999,1.0611157417297363,0.01101367175579071,330.25,-17.372236251831055,57,1.1209588050842285
20690,0.0003,359,56,20589,-111.16535241071428,-1.122177004814148,0.011321913450956345,369.4642857142857,-15.283888816833496,57,2.8994932174682617
22418,0.0003,389,60,22317,-112.55976544999999,-1.2888541221618652,0.011391527019441128,373.6333333333333,-12.727712631225586,57,0.48616939783096313
23206,0.0003,402,64,23105,-111.93713804687499,-0.6823179721832275,0.011470972560346127,362.59375,-14.56778335571289,57,0.97994464635849
