rollout/ep_len_mean,time/iterations,train/entropy_loss,time/time_elapsed,train/learning_rate,train/n_updates,train/explained_variance,train/policy_loss,time/fps,time/total_timesteps,train/std,rollout/ep_rew_mean,train/value_loss
200.0,100,-1.4208992719650269,0,0.0007,99,0.09113603830337524,-28.440021514892578,1080,500,1.002562403678894,-1181.0835105,908.783203125
200.0,200,-1.4206830263137817,0,0.0007,199,-0.6390844583511353,-18.951595306396484,1080,1000,1.0017176866531372,-1211.2647134000001,217.0780792236328
200.0,300,-1.424126148223877,1,0.0007,299,3.987550735473633e-05,-44.75434112548828,1104,1500,1.004794716835022,-1260.2830105714286,966.0685424804688
200.0,400,-1.4254186153411865,1,0.0007,399,6.955862045288086e-05,-49.4735107421875,1103,2000,1.0055572986602783,-1338.9863622,877.4556884765625
200.0,500,-1.4310004711151123,2,0.0007,499,-0.00022733211517333984,-47.10273361206055,1101,2500,1.0116714239120483,-1383.618776916667,991.5979614257812
