time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/policy_gradient_loss
47104,200.0,1315,23,-1155.15656383,35,0.0003,0.2,-1.3355444170534612,3776.0282333374025,0.0189453125,1772.9295654296875,6.300210952758789e-05,0.9168866872787476,220,0.002621797,-0.0013527062008506618
49152,200.0,1311,24,-1152.37721257,37,0.0003,0.2,-1.3238647494465112,4956.93900756836,0.0072265625,2313.8642578125,3.790855407714844e-05,0.902592122554779,230,0.0022513964,-0.0010075580648845062
51200,200.0,1308,25,-1149.5765822,39,0.0003,0.2,-1.3174458902329207,3657.3202812194822,0.0279296875,1336.328857421875,3.7670135498046875e-05,0.9050880670547485,240,0.0046464596,-0.0016072465426987038
53248,200.0,1307,26,-1166.2150356399998,40,0.0003,0.2,-1.322422529757023,4289.919746398926,0.00712890625,1915.433837890625,2.5212764739990234e-05,0.9073737859725952,250,0.0020517933,-0.0011625795355939771
55296,200.0,1305,27,-1161.8375763899999,42,0.0003,0.2,-1.3172428410500288,5041.179225158691,0.01787109375,1908.1107177734375,1.9848346710205078e-05,0.898862361907959,260,0.0020939913,-0.0020865690836217254
57344,200.0,1305,28,-1139.34023357,43,0.0003,0.2,-1.3202626112848521,3638.7982330322266,0.01279296875,1806.2091064453125,2.1517276763916016e-05,0.9090868234634399,270,0.001587281,-0.0015437877795193345
59392,200.0,1304,29,-1145.56012154,45,0.0003,0.2,-1.3167487848550081,3110.5567840576173,0.01650390625,1361.3162841796875,2.1338462829589844e-05,0.8970695734024048,280,0.0035870261,-0.0021076763936434873
61440,200.0,1303,30,-1118.3795834400003,47,0.0003,0.2,-1.3036886356770991,4436.1816680908205,0.0091796875,2032.2088623046875,1.0132789611816406e-05,0.8885053396224976,290,0.0030376771,-0.0005544507992453873
63488,200.0,1302,31,-1112.5915908,48,0.0003,0.2,-1.2920127663761378,3392.81139831543,0.0201171875,1583.1563720703125,1.341104507446289e-05,0.8741781711578369,300,0.003177777,-0.001799013212439604
65536,200.0,1302,32,-1115.7250784500002,50,0.0003,0.2,-1.282393892109394,3104.45489654541,0.027734375,1631.72265625,1.3768672943115234e-05,0.8721935153007507,310,0.0038034893,-0.0025695016694953663
67584,200.0,1301,33,-1109.2651151399998,51,0.0003,0.2,-1.2713478565216065,3448.145767211914,0.02802734375,1784.608642578125,1.1146068572998047e-05,0.8546268939971924,320,0.004287867,-0.002982775693089934
69632,200.0,1301,34,-1118.34991244,53,0.0003,0.2,-1.2586315065622329,2738.6793270111084,0.017431640625,1205.0494384765625,1.0311603546142578e-05,0.8527086973190308,330,0.0031790244,-0.0011416195950005204
71680,200.0,1301,35,-1117.6154980099998,55,0.0003,0.2,-1.2671824805438519,3251.9680572509765,0.0298828125,1261.9405517578125,7.271766662597656e-06,0.8663425445556641,340,0.0032112526,-0.002426440179988276
73728,200.0,1301,36,-1102.1881505600002,56,0.0003,0.2,-1.269839358329773,3014.6933166503904,0.018603515625,1133.50048828125,7.510185241699219e-06,0.8571467399597168,350,0.0030806265,-0.0011980092895100825
75776,200.0,1301,37,-1105.8442669,58,0.0003,0.2,-1.2697438720613718,2553.2174228668214,0.043701171875,1008.4265747070312,5.424022674560547e-06,0.8621891140937805,360,0.0040012607,-0.004769302227941807
77824,200.0,1301,38,-1099.81326158,59,0.0003,0.2,-1.2631236881017684,2620.778297805786,0.021630859375,1263.6199951171875,4.470348358154297e-06,0.8516822457313538,370,0.003371913,-0.002404889948957134
79872,200.0,1301,39,-1084.50448386,61,0.0003,0.2,-1.2480242863297462,2466.2499507904054,0.036865234375,1088.5447998046875,4.649162292480469e-06,0.836451530456543,380,0.0041990243,-0.0035482207560562527
81920,200.0,1300,40,-1083.13697895,62,0.0003,0.2,-1.2276661291718483,2000.5421562194824,0.026416015625,905.2787475585938,4.5299530029296875e-06,0.8174863457679749,390,0.0035198815,-0.001286176941357553
83968,200.0,1300,41,-1088.50797049,64,0.0003,0.2,-1.2128087915480137,2183.948083114624,0.016650390625,879.2141723632812,3.993511199951172e-06,0.8102150559425354,400,0.0038307756,-0.0011451138081611135
86016,200.0,1300,42,-1079.79128677,66,0.0003,0.2,-1.2055073417723179,2289.0029930114747,0.0361328125,989.4915771484375,3.5762786865234375e-06,0.805318295955658,410,0.0045526726,-0.003201079598511569
88064,200.0,1300,43,-1083.19896393,67,0.0003,0.2,-1.1941161770373583,1695.365115737915,0.026806640625,773.1726684570312,3.933906555175781e-06,0.7913373708724976,420,0.004579424,-0.00235360147053143
90112,200.0,1297,44,-1081.49924869,69,0.0003,0.2,-1.1837692558765411,2477.564749908447,0.009423828125,969.1715698242188,3.2186508178710938e-06,0.7888550162315369,430,0.0019568454,-0.0003978345586801879
