rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss
-115.6146245,2048,451.75,1286,1,1,,,,,,,,,,,
-112.9901644,4096,681.4,997,2,4,1.0090346336364746,0.2,-0.009875147226557602,119.19604423120617,63.54595184326172,0.007724522,0.05615234375,10,0.0005758404731750488,0.0003,-5.695970068871975
-112.035524875,6144,647.375,922,3,6,0.9931986331939697,0.2,-0.016068383739184355,0.6389967430382967,0.10498211532831192,0.013030365,0.17431640625,20,0.3110235333442688,0.0003,-5.667004378139973
-109.87037800000002,8192,628.3636363636364,890,4,9,0.9918858408927917,0.2,-0.007148445603525034,67.56238005831838,17.897336959838867,0.0066605234,0.03515625,30,0.058629512786865234,0.0003,-5.645331609249115
-109.35721215384615,10240,777.8461538461538,873,5,11,0.9928983449935913,0.2,-0.005980264300887939,58.36531651271507,57.59619140625,0.009827616,0.07216796875,40,0.2715097665786743,0.0003,-5.645743776857853
-109.63853335714285,12288,836.5714285714286,862,6,14,0.9777770042419434,0.2,-0.01345188068371499,0.30817873030900955,0.07858122885227203,0.01204324,0.147021484375,50,0.48529356718063354,0.0003,-5.611876605451107
-109.11893731250001,14336,836.1875,851,7,16,0.9531881213188171,0.2,-0.014635972616088112,0.48061185060068967,0.28398993611335754,0.011920393,0.128857421875,60,0.8056298047304153,0.0003,-5.524081002175808
-107.97537016666666,16384,835.8333333333334,846,8,19,0.9500659704208374,0.2,-0.0035714731207917793,26.04082827679813,0.6304435133934021,0.010616013,0.059326171875,70,0.11742424964904785,0.0003,-5.473831464350224
-105.96500940000001,18432,912.25,841,9,21,0.9522067308425903,0.2,-0.006075621649506502,21.964342590875457,2.1622939109802246,0.0036596549,0.032470703125,80,0.45068103075027466,0.0003,-5.470014372467995
-105.91182477272727,20480,905.3181818181819,836,10,24,0.9488184452056885,0.2,-0.009670934150926768,0.47947127984371035,0.005765654146671295,0.010394677,0.10341796875,90,0.8840965703129768,0.0003,-5.4761902138590814
-105.58722569565217,22528,935.5217391304348,833,11,27,0.9512319564819336,0.2,-0.006852667358907638,21.567405249900183,0.13701719045639038,0.007611685,0.06328125,100,0.432969331741333,0.0003,-5.46934809833765
-104.94430468,24576,927.0,830,12,29,0.9384292364120483,0.2,-0.008667269122088327,0.1481947524123825,0.03090100735425949,0.013684584,0.12646484375,110,-0.26434946060180664,0.0003,-5.447256578505039
-104.31000326666668,26624,886.2,828,13,32,0.9329807162284851,0.2,-0.006045978359907167,19.676157178974243,17.889501571655273,0.011684696,0.09306640625,120,0.26762932538986206,0.0003,-5.408311206102371
-103.65803393548389,28672,909.2258064516129,826,14,34,0.9336539506912231,0.2,-0.0016327520948834716,48.781929267384115,19.150571823120117,0.0020788326,0.001025390625,130,0.6055344343185425,0.0003,-5.398488120734692
-103.05717971875,30720,930.8125,825,15,37,0.9282823801040649,0.2,-0.008418413539766334,0.09354628283181228,0.02697676420211792,0.008539402,0.0837890625,140,-0.6972953081130981,0.0003,-5.390313386917114
