train/policy_loss,train/value_loss,time/time_elapsed,train/n_updates,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/fps,train/entropy_loss,train/learning_rate
1.548333764076233,9.104893684387207,0,99,100,27.77777777777778,500,-0.623967170715332,27.77777777777778,984,-0.6807480454444885,0.0007
1.4031336307525635,4.981675624847412,1,199,200,33.233333333333334,1000,0.26167726516723633,33.233333333333334,961,-0.530981719493866,0.0007
-7.619460105895996,333.2289123535156,1,299,300,32.5,1500,0.09050071239471436,32.5,960,-0.3514713644981384,0.0007
1.6747026443481445,6.455862522125244,2,399,400,33.06666666666667,2000,-9.953975677490234e-05,33.06666666666667,959,-0.5156523585319519,0.0007
1.3694193363189697,5.248385429382324,2,499,500,35.48571428571429,2500,-0.02251720428466797,35.48571428571429,954,-0.5735288262367249,0.0007
1.014331579208374,4.888720512390137,3,599,600,36.629629629629626,3000,-0.010520577430725098,36.629629629629626,958,-0.5703229308128357,0.0007
0.4886930584907532,4.303712368011475,3,699,700,38.2,3500,-0.0011466741561889648,38.2,963,-0.5309524536132812,0.0007
1.074813723564148,3.777252197265625,4,799,800,41.385416666666664,4000,-0.0004968643188476562,41.385416666666664,960,-0.4848124086856842,0.0007
0.7424991726875305,3.236506938934326,4,899,900,43.02040816326531,4500,9.310245513916016e-05,43.02040816326531,958,-0.5846428871154785,0.0007
0.8600112795829773,2.75976824760437,5,999,1000,48.01,5000,0.0009837150573730469,48.01,961,-0.579003632068634,0.0007
0.48466649651527405,2.3104538917541504,5,1099,1100,52.92,5500,0.0008535981178283691,52.92,961,-0.5975509881973267,0.0007
0.5226156711578369,1.9071651697158813,6,1199,1200,57.09,6000,0.0002840757369995117,57.09,961,-0.533505916595459,0.0007
0.4655214250087738,1.5325103998184204,6,1299,1300,60.1,6500,0.0013063549995422363,60.1,957,-0.5090245604515076,0.0007
0.4808517098426819,1.2171529531478882,7,1399,1400,65.7,7000,0.0001264810562133789,65.7,955,-0.6325058341026306,0.0007
0.4181537628173828,0.9346777200698853,7,1499,1500,69.39,7500,-0.00045299530029296875,69.39,952,-0.5742346048355103,0.0007
0.5470978617668152,0.6889838576316833,8,1599,1600,72.5,8000,-0.0012125968933105469,72.5,953,-0.4691023826599121,0.0007
0.35383254289627075,0.47726982831954956,8,1699,1700,74.67,8500,0.0003440976142883301,74.67,955,-0.6070982217788696,0.0007
0.3055899441242218,0.3048068881034851,9,1799,1800,78.89,9000,0.0007929205894470215,78.89,957,-0.5241299271583557,0.0007
0.1722877472639084,0.16669046878814697,9,1899,1900,82.3,9500,-0.0002079010009765625,82.3,958,-0.6460394859313965,0.0007
-23.23925018310547,4845.71533203125,10,1999,2000,88.36,10000,2.384185791015625e-06,88.36,960,-0.5783313512802124,0.0007
0.0669398158788681,0.016733061522245407,10,2099,2100,91.68,10500,0.00023651123046875,91.68,961,-0.6013447046279907,0.0007
0.009802415035665035,0.00044449116103351116,11,2199,2200,95.14,11000,-0.000970005989074707,95.14,960,-0.575825572013855,0.0007
-77.89479064941406,7600.9482421875,11,2299,2300,100.14,11500,7.450580596923828e-06,100.14,959,-0.4766145646572113,0.0007
0.0010535494657233357,1.7749389371601865e-05,12,2399,2400,103.4,12000,-0.04917597770690918,103.4,958,-0.47475719451904297,0.0007
0.000588066061027348,6.275484452089586e-07,13,2499,2500,106.53,12500,0.13442039489746094,106.53,959,-0.42459315061569214,0.0007
0.00027616164879873395,8.569448368689336e-07,13,2599,2600,109.84,13000,0.10962998867034912,109.84,958,-0.5243166089057922,0.0007
0.0005729356780648232,6.84086717228638e-06,14,2699,2700,114.72,13500,-0.013669013977050781,114.72,957,-0.5156717896461487,0.0007
0.0021962185855954885,2.0176847101538442e-05,14,2799,2800,117.4,14000,0.0065531134605407715,117.4,957,-0.44665080308914185,0.0007
0.006877032574266195,0.0001432562421541661,15,2899,2900,119.5,14500,0.1378539800643921,119.5,957,-0.30912554264068604,0.0007
0.012094510719180107,0.0002679114695638418,15,2999,3000,120.21,15000,-0.13700628280639648,120.21,955,-0.34588223695755005,0.0007
-0.0856737270951271,0.021938513964414597,16,3099,3100,118.26,15500,-8.00528621673584,118.26,955,-0.40525174140930176,0.0007
0.16091887652873993,0.029135167598724365,16,3199,3200,112.42,16000,-1.5890083312988281,112.42,954,-0.3247935175895691,0.0007
-17.516796112060547,186.6525115966797,17,3299,3300,106.81,16500,-20.203575134277344,106.81,954,-0.20402519404888153,0.0007
-0.8597673177719116,39.829288482666016,17,3399,3400,101.78,17000,-1.099440336227417,101.78,952,-0.38412541151046753,0.0007
-0.3928987979888916,0.7629767060279846,18,3499,3500,99.27,17500,0.6292685568332672,99.27,952,-0.33954358100891113,0.0007
0.4625219404697418,9.989885330200195,18,3599,3600,98.03,18000,-2.11814284324646,98.03,952,-0.3813040852546692,0.0007
-0.14774878323078156,0.14015665650367737,19,3699,3700,98.64,18500,0.49485576152801514,98.64,953,-0.2725330591201782,0.0007
-10.842416763305664,2031.713623046875,19,3799,3800,97.09,19000,-0.24414706230163574,97.09,953,-0.3706538677215576,0.0007
-86.2217025756836,7902.72509765625,20,3899,3900,89.79,19500,-0.033841609954833984,89.79,953,-0.2372061312198639,0.0007
0.058364830911159515,0.05325419828295708,20,3999,4000,83.01,20000,-762.0438232421875,83.01,952,-0.34399446845054626,0.0007
-0.0006577416206710041,3.43421233992558e-05,21,4099,4100,77.0,20500,0.6720977127552032,77.0,953,-0.3356243968009949,0.0007
